Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),,Achilleadonium biformoides,Achomosphaera alcicornu,Achomosphaera crassipellis,Achomosphaera ramulifera,Hystrichostrogylon membraniphorum,Adnatosphaeridium vitanum,Aiora fenestrata,Alisocysta circumtabulata,Alisocysta chilensis,Alisocysta margarita,Alisocysta reticulata sp. A,Alisocysta reticulata ,Alterbidinium acutulum,Alterbidinium distinctum,Amphidiadema? sp.,Apectodinium homomorphum, Apectodinium hyperacanthum , Apectodinium parvum , Apectodinium quinquelatum , Apectodinium cf Wetz ,Apectodinium spp. (pars.),Apteodinium australiense,Arachnodinium antarcticum,Areoligera spp., Areoligera senonensis ,Batiacasphaera spp. (pars),Batiacasphaera compta,Batiacasphaera sp. c.f. B. cassicula,Brigantedinium spp.,Brigantedinium? blank,Caligodinium spp,Cannosphaeropsis sp.,Carpatella spp,Cassidium fragile,Cassidium filosum,Cerebrocysta bartonensis,Cerebrocysta wr small,Cerebrocysta minima,Cerebrocysta delicata,Cerodinium depressum,Cerodinium indet.,Cerodinium debielii,Cerodijnium depressum,Cerodinium sp. A,Cerodinium sp. A 'small' ,Cerodinium speciosum,Cerodinium striata,Circulodinium compactum,Cleistosphaeridium placacanthum,Cleistosphaeridium polypetellum,Cleistosphaeridium diversispinosum,Cordosphaeridium fibrospinosum,Cordosphaeridium minimum,Corrudinium obscurum,Corrudinium regulare,Corrudinium incompositum,Cribroperidinium spp. ,Damassadinium californicum,Danea crassimurata,Dapsilidinium spp.,Deflandrea antarctica,Deflandrea convexa,Deflandrea cygniformis,Deflandrea denticulata,Deflandrea foveolata,Deflandrea oebisfeldensis,Deflandrea phosphoritica,Deflandrea/ Cerodinium spp. (pars.),Deflandrea sp. A,Deflandrea indet.,Diconodinium sp.,diconodinium psilate large,Diconodinium granulate,Dinopterygium sp. A,Dinogymnium,Diphyes colligerum,Elytrocysta brevis,Elytrocysta druggii,Distatodinium paradoxum,Dracodinium waipawaense,Eocladopyxis spp. (pars),"Eocladopyxis sp. A Bijl et al., 2013",Enneadocysta multicornuta,Enndeadocysta partridgei,Enneadocysta pectiniformis,Enneadocysta cf robusta,Exochosphaeridium bifidum,Fibrocysta bipolaris, Fibrocysta spp. ,Fibrocysta sp. A,Florentinia mantellii,Florentinia reichartii,Froomea,Gelatia inflata,Gerdiocysta spp.,Glaphyrocysta delicata,Glaphyrocysta spp. (pars),Glaphyrocysta ordinata,Glaphyrocysta inticata,Glaphyrocysta divaricata,Glaphyrocysta exuberans,Glaphyrocysta pastielsii,Glaphyrocysta retiintexta,Hafniasphaera septata,Heteraolacocysta spp.,Homotryblium oceanicum,Hemiplacophora semilunifera,Hystiocysta verrucosa,Hystiocysta palla,Homotryblium tasmaniense,Hystrichokolpoma pusillum,Hystrichokolpoma bullatum,Hystrichokolpoma spp. (pars.),Hystrichokolpoma rigaudiae,Hystrichokolpoma spinosum,Hystrichokolpoma truncatum,Hystrichosphaeridium ?truswelliae,Hystrichosphaeridium ?tubiferum,Hystrichosphaeropsis spp.,Impagidinium aculeatum,Impagidinium cassiculum,Impagidinium crassimuratum,Impagidinium dispertitum,Impagidinium maculatum,Impagidinium agremom,Impagidinium paradoxum,Impagidinium parvireticulatum,Impagidinium velorum,Impagidinium victorianum,Impagidinium crouchiae,Impagidinium waipawaensis,Impagidinium spp. (pars.),Impletosphaeridium spp.,Isabellidinium spp.,Kallosphaeridium,Kenleyia spp.,Kisselovia coleothrypta,Kisselovia edwardsii,Lejeunecysta hyalina,Lejeunecysta rotundata,Lentinia serrata,Leptodinium pustulatum,Lingulodinium machaerophorum,Lophocysta spp.,Manumiella spp.,Manumiella seymourensis,Manumiella rotunda,Melitasphaeridium speudorecurvatum,Membranophoridium perforatum,Membranosphaera spp.,Microdinium spp.,microdinium? sp. A,Muratodinium finbriatum,Nelsoniella spp.,Nematosphaeropsis labirinthus,Ochetodinium spp.,Octodinium askiniae,Odontochitina operculata,Oligosperidium spp.,Operculodinium centrocarpum,Operculodinium? sp. A,"Operculodinium sp. A Brinkhuis, 2003",Operculodinium spp. pars.,Palaeocystodinium australinum,Palaeocystodinium golzowense,Palaeoperidinium pyrophorum,Palaeotetradinium minisculum,Pentadinium laticinctum,Phthanoperidinium crenulatum,Phthanoperidinium sp.,Phthanoperidium echinatum,Phthanoperidinium comatum,Phthanoperidnium sp A houben 748,Polysphaeridium spp.,Protoperidinium sp. A,Pyxidinopsis waipawaensis,Pyxidinopsis sp. A,Pyxidinopsis meadensis,Reticulatosphaera actinocoronata,Rhombodinium spp.,Rottnestia borussica,Samlandia delicata,Samlandia septata,Schematophora speciosa,Selenopemphix spp.,Senegalinium sp. A brown,Senegalinium sp. B transparent,Senegalinium/Alterbidium indet.,Senegalinium bicavatum,Senegalinium dilwynense,Senoniasphaera inronata,Spinidinium sp. A,Spinidinium densispinatum,Spinidinium macmurdoense,Spinidinium schellenbergii,Spiniferella cornuta,Spiniferites spp. (pars.),Spiniferites ramosus,Spiniferites sp. A Brinkhuis 2003,Spiniferites sp. B Brinkhuis 2003,Stoveracysta kakanuensis,Stoveracysta ornata,subtilisphaera,Tanyosphaeridium spp.,Tectatodinium,Thalassiphora delicata,Thalassiphora pelagica,Trithyrodinium evittii ,Trithyrodinium vermiculatum?,Turbiosphaera filosa,Turbiosphaera galeata,Vozzhennikovia apertura,Vozzhennikovia angulata,Vozzhennikovia röhliae,Vozzhennikovia stickleyae,Vozzhennkovia netrona,Vozzhennikovia spp. (pars.),Wetzelliella astra,Wetzeliella samlandica,Wilsonidium ornatum,Wilsonidium echinosuturatum,total dinoflagellates,,Impagidinium spp.,Cerebrocysta group,Spiniferites group,Operculodinium spp.,Cordosphaeridium fibrospinosum group,Cleistosphaeridium spp.,Batiacasphaera,Diphyes colligerum,Hystrichosphaeridium spp.,"Elytrocysta, Microdinium spp.",Alisocysta/Schematophora,Hystrichokolpoma,Glaphyrocysta group,Enneadocysta spp.,Wetzeliellioids,Palaeoperidinium pyrrophorum,Palaeocystodinium spp.,Spinidinium spp.,Vozzhennikovia spp.,Deflandrea group,Manumiella spp.,Phthanoperidinium spp,Senegalinium group,Goniodomids,Protoperidinium spp.,other,,,"%Group cf. Frieling & Sluijs, 2018",Spiniferites cpx,Cordosphaeridium cpx,Areoligera cpx,Operculodinium,Lingulodinium,Proximal G-cysts Apical,Proximal G-cysts Precingular,Hystrichosphaeridium,Hystrichokolpoma,Cleistosphaeridium,Epicystal Goniodomids,Impagidinium,Florentinia reichartii,Diphyes,Apectodinium,Hafniasphaera,Senegalinium (inclusive),Senegalinium (exclusive),"Phth, Spini & Vozz.",Cerodinium & Deflandrea,Protoperidinioids,Hex-P,Thermophiles,Open Marine,Octodinium askinae,SUM,%endemic,acritarchs,bisaccate,nothofagus,other pollen,spores,sporomorphs unspecified,T/T+M
1172A,359.75,39,4,65,67,AS,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,2,,,,,,15,,5,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,5,,,,1,,,,,,,3,,,,,,,9,,,2,,,2,,,,,,,,11,,,,,,,,,,,,,,2,,,3,,,,,,4,,,14,,,,,,,,,,,,,25,,22,,,,,,,,,,155,,3,2,14,4,26,0,0,0,0,4,0,1,0,3,0,0,0,4,22,22,0,11,7,1,22,9,,,,9.03,16.77,1.94,2.58,0.65,2.58,1.29,0.00,0.65,0.00,0.00,1.94,0.00,0.00,0.00,0.00,42.58,28.39,25.81,14.19,14.19,56.77,0.00,13.55,5.81,100,69,15,,,,,75,0.33
1172D,359.87,2,5,65,68,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,67,,,,,,,1,,,,,,,,,,,,,,2,2,,,,1,,,,,,,,,,,,,21,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,2,,,,,,,,,1,6,,,,,,,,,,320,,3,2,2,1,3,2,0,0,0,3,2,0,0,2,0,0,0,4,6,21,0,6,0,0,263,0,,,,0.63,0.94,0.63,0.31,0.00,1.56,0.63,0.00,0.00,0.63,0.00,0.78,0.00,0.00,0.00,0.00,11.58,5.01,5.01,6.57,82.32,93.90,0.00,1.72,0.00,100,32,7,1,1,0,2,,0.01
1172A,359.95,39,4,85,87,AS,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,10,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,4,,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,3,,,1,,,1,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,6,,,10,,,,1,1,,,,,,,,2,,37,,,,,,,,,,112,,3,2,10,2,2,0,0,0,0,0,2,0,0,2,0,0,0,6,37,20,0,3,7,1,12,3,,,,8.93,1.79,1.79,1.79,0.89,1.79,1.79,0.00,0.00,0.00,0.00,2.68,0.00,0.00,0.00,0.00,65.18,47.32,41.07,17.86,10.71,75.89,0.00,13.39,2.68,100,66,0,0,0,0,0,0,0.00
1172D,360.15,2,5,93,96,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,5,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,,,,,1,,,,,,,,5,3,,,,,,,11,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,2,,,,4,,,,,,1,,,,,,,,,,,,,24,,,2,0,,,,,,,,,,6,,,,,,,,,,141,,4,2,28,4,0,3,0,0,0,11,2,1,0,6,0,0,0,0,6,9,0,0,0,0,63,2,,,,19.89,0.00,4.26,2.84,0.00,9.06,1.42,0.00,0.71,2.13,0.00,2.84,0.00,0.00,0.00,0.00,10.66,4.26,4.26,6.39,44.76,55.42,0.00,25.58,1.42,100,20,12,1,2,3,5,,0.07
1172D,360.37,2,5,115,118,SH,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,48,7,,,,,,,2,,,,,,,,,,,,,,12,,,,4,,,,,,3,,,,,,,,10,,,,,,,,6,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,,,,,,,,,2,,,,1,,3,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,10,,,12,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,37,,,1,,,,,,,,,,,13,,,,,,,,,,198,,6,6,37,12,0,12,3,0,0,8,1,7,0,7,0,0,0,0,13,13,0,2,1,3,59,10,,,,18.73,0.00,3.29,6.08,1.27,6.08,3.04,0.00,3.54,5.82,0.00,2.78,0.00,0.00,0.00,0.00,14.43,8.10,7.59,6.33,29.87,44.30,0.00,27.59,5.06,100,41,21,3,0,0,3,,0.03
1172A,360.44,39,4,134,136,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,50,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,2,,,,,,,,,,,,,,20,2,,,,,,,,,,,,,2,,,,,,,,,,2,,2,,,,,,,,,,,,,,,5,,,,,,,,,,134,,1,0,2,0,0,0,0,0,0,20,0,0,0,2,0,0,0,2,5,76,0,22,0,0,2,2,,,,1.49,0.00,1.49,0.00,0.00,14.93,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,78.36,21.64,21.64,56.72,1.49,79.85,0.00,2.24,1.49,100,86,0,11,14,1,8,,0.20
1172A,360.57,39,4,147,149,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,113,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,2,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,4,,,,,,,,,,172,,0,0,1,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,4,143,0,10,1,0,3,2,,,,0.58,0.00,1.16,0.00,0.00,2.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.44,9.30,9.30,83.14,1.74,94.19,0.00,0.58,1.16,100,151,0,2,7,0,3,,0.07
1172D,360.61,2,5,140,144,SH,,,,,,,1,,,,,,,6,,,,,,,,,,,,,1,,64,,,,,,,,1,,,,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,,18,4,,,,,,,15,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,3,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,13,,,,,,,,,,,6,,,,3,,,,2,,,,,,2,,3,,,,,,,1,,,,24,,,,,,,,,,,,,3,101,,,,,,,,,,293,,11,4,26,13,3,1,1,0,0,15,0,1,0,6,0,0,0,1,101,22,0,6,9,1,69,5,,,,8.87,1.02,1.88,4.44,0.34,5.46,1.19,0.00,0.34,0.34,0.00,3.75,0.00,0.00,0.00,0.00,47.27,39.93,37.88,7.34,23.55,70.82,0.00,17.06,1.19,100,136,17,6,1,4,4,,0.05
1172A,360.65,39,5,5,7,AS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,208,,97,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,,,,1,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,9,,,,,,,,,,334,,1,6,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,9,305,0,5,0,1,1,0,,,,0.00,0.00,0.30,0.60,0.30,0.30,1.80,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,96.11,4.79,4.79,91.32,0.30,96.41,0.00,0.90,0.00,100,317,5,2,1,1,1,,0.01
1172D,360.84,2,6,12,15,SH,,,,,,,,,,,,,,7,,,,,,,,,,,,,3,,24,,,,,,,,3,,,,,,,,,,,,,,,1,,,2,,,,,,10,,,,,,,,16,,,,,,,,10,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,3,,,,14,,,,,,,,,1,,,,61,56,,,,,,,,,,228,,4,5,14,3,63,0,3,0,0,10,0,0,0,2,0,0,0,3,56,26,0,6,7,2,24,0,,,,6.14,27.63,0.88,1.32,0.44,5.70,2.19,0.00,0.00,0.00,0.44,1.75,0.00,0.00,0.00,0.00,42.98,31.58,28.51,11.40,10.53,53.51,0.44,9.21,0.00,100,146,7,2,2,1,2,,0.03
1172A,361.15,39,5,55,57,AS,,,,,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,133,,23,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,2,3,,,,1,,,,,,,,,3,,,,,,,,,26,,,12,,,,,,,,,,,,,,,57,,,,,,,,,,287,,2,4,12,1,0,0,1,0,0,0,0,0,1,5,0,0,0,26,57,156,0,5,8,1,3,5,,,,4.18,0.00,2.09,0.35,0.35,0.35,1.39,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,87.80,33.45,30.66,54.36,1.05,88.85,0.00,5.23,1.74,100,249,1,3,3,1,1,,0.03
1172D,361.34,2,6,63,66,SH,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,1,,,,11,,,,,,,,,,,,,,,9,,,,,,,1,,,,,,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,3,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,,,,,,,,7,1,,,,,,,,,,,,1,,,1,,,,,,,2,2,,1,31,,,,,,,,,2,,,,,8,,,,,,,,,,145,,8,12,37,7,2,1,0,0,2,1,1,0,0,41,0,0,0,4,8,9,0,8,3,0,2,0,,,,25.61,1.38,28.03,4.84,0.00,1.38,8.30,1.04,0.00,0.69,0.00,5.19,0.00,0.00,0.00,0.00,22.15,15.92,14.53,6.23,1.38,23.53,0.00,35.64,0.00,100,61,11,5,1,1,2,,0.06
1172A,361.45,39,5,85,87,AS,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,138,,46,,,,2,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,9,,,,,,,,,,,,,5,,,,,,,,,,83,,,1,,,,,,,,,,,,,,,11,,,,,,,,,,307,,4,2,1,0,1,0,0,0,0,0,5,1,0,1,0,0,0,83,11,186,0,9,2,0,0,1,,,,0.33,0.33,0.33,0.00,0.00,1.63,0.65,0.00,0.33,0.00,0.00,1.30,0.00,0.00,0.00,0.00,94.79,34.20,33.55,60.59,0.00,94.79,0.00,1.63,0.33,100,280,4,0,0,0,0,,0.00
1172D,361.57,2,6,85,88,SH,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,4,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,205,,5,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,4,3,,,,1,,,,,,,,,,3,,,,,,,,,,256,,2,2,7,3,0,0,1,0,0,0,1,0,0,10,0,0,0,0,3,210,0,0,3,3,9,2,,,,2.74,0.00,3.72,1.17,1.17,0.78,0.78,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,84.54,2.35,1.57,82.19,3.52,88.06,0.00,4.70,0.78,100,225,2,2,3,0,0,,0.02
1172A,361.64,39,5,104,106,AS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,20,,46,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,11,,,,,,,,,,,,,,1,,,,,,,,,123,1,,2,,,,,,,,,,,,,,,27,,,1,,,,,,,245,,1,2,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,124,28,66,0,11,1,2,2,1,,,,0.82,0.00,0.41,0.00,0.82,1.63,0.82,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,93.88,66.94,66.53,26.94,0.82,94.69,0.00,1.22,0.41,100,220,0,1,0,0,3,,0.02
1172A,361.65,39,5,105,107,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,8,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,1,,,,,,,,,173,,,3,,,,,,,,,,,,,,,14,,,,,,,,,,290,,3,0,3,0,0,0,0,0,0,2,0,0,0,4,0,0,0,173,14,80,0,8,0,1,1,1,,,,1.03,0.00,1.38,0.00,0.34,0.69,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.00,0.00,0.00,94.83,67.24,67.24,27.59,0.34,95.17,0.00,2.07,0.34,100,270,2,1,0,0,2,,0.01
1172D,362.09,2,6,137,140,SH,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,228,,4,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,10,4,,,,,,,,,,,,,,18,,,,,,,,,,292,,5,2,14,4,0,0,0,0,0,0,0,4,0,4,0,0,0,1,18,232,0,1,5,0,2,0,,,,4.79,0.00,1.37,1.37,0.00,0.00,0.68,0.00,1.37,0.00,0.00,1.71,0.00,0.00,0.00,0.00,88.01,8.56,6.85,79.45,0.68,88.70,0.00,7.88,0.00,100,253,2,0,1,0,1,,0.01
1172A,362.40,39,6,30,32,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,64,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,9,7,,,,,,,,,,,,,1,,,,,,,,,34,,,4,,,,,,,,,,1,,,,,26,,,,,,,,,,261,,2,0,4,0,1,0,0,0,0,0,0,0,1,4,0,0,0,34,26,166,0,16,0,0,1,6,,,,1.53,0.38,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,92.72,29.12,29.12,63.60,0.38,93.10,0.00,2.30,2.30,100,236,0,1,4,1,5,,0.04
1172A,362.65,39,6,55,57,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,130,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,4,,,,1,,,,,,,,,,,,,,,,,,193,,,12,,,,,,,,,,,,,,,30,,,,,,,,,,407,,6,5,12,0,0,0,0,0,0,2,0,0,1,0,0,0,0,193,30,150,0,8,0,0,0,0,,,,2.95,0.00,0.25,0.00,0.00,0.49,1.23,0.00,0.00,0.00,0.00,1.47,0.00,0.00,0.00,0.00,93.61,56.76,56.76,36.86,0.00,93.61,0.00,4.42,0.00,100,373,3,1,1,0,0,,0.00
1172A,362.74,39,6,64,66,AS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,60,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,124,,,2,,,,,,,,,,,,,,,20,,,1,,,,,,,222,,2,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,124,21,65,0,3,1,0,0,1,,,,0.90,0.00,0.45,0.00,0.00,0.45,0.45,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,96.40,67.12,66.67,29.28,0.00,96.40,0.00,1.80,0.45,100,212,6,0,0,4,0,,0.02
1172D,362.87,3,1,5,8,SH,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,177,,,,,,,,,,,,,,,,,,1,,,,,7,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,5,,,31,3,,,,,,,,,,,,,,9,,,,,,,,,,259,,3,3,37,6,0,0,0,0,0,0,2,0,1,7,1,0,0,5,9,177,0,7,0,0,0,1,,,,14.29,0.00,3.09,2.32,0.00,0.00,1.16,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.39,0.00,76.45,8.11,8.11,68.34,0.00,76.45,0.39,18.15,0.00,99,198,0,0,1,0,1,,0.01
1172A,362.95,39,6,85,87,AS,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,40,,,,2,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,1,,,,1,,,,,,,,,1,,,,,,,,,32,1,,7,,,,,,,,,,,,,,,24,,,,,,,,,,282,,4,1,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,33,24,194,0,6,4,0,3,4,,,,2.48,0.35,0.35,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,1.42,0.00,0.00,0.00,0.00,92.55,23.76,22.34,68.79,1.06,93.62,0.00,3.90,1.42,100,254,0,0,1,0,0,,0.00
1172A,363.15,39,6,105,107,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,53,,7,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,50,,,,,1,,,,,,,,,1,,,,,,,,,58,12,,3,,,,,,,,,,,,,,,103,,,,,,,,,,311,,8,1,3,0,1,0,0,0,2,0,0,0,0,2,0,0,0,70,103,61,0,50,0,0,3,7,,,,0.96,0.32,0.64,0.00,0.00,0.00,0.32,0.64,0.00,0.00,0.00,2.57,0.00,0.00,0.00,0.00,91.32,71.70,71.70,19.61,0.96,92.28,0.00,3.54,2.25,100,242,15,1,2,0,3,,0.02
1172A,363.30,39,6,120,122,AS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,8,,,,,,,,,,,,,,52,1,,,,,,,,,,,,,1,,,,,,,,,86,,,3,,,,,,,,,,,,,,,32,,,,,,,,,,223,,3,0,3,0,0,0,1,0,1,0,0,0,0,2,0,0,0,86,32,31,0,53,0,1,2,8,,,,1.35,0.00,0.90,0.00,0.45,0.45,0.00,0.45,0.00,0.00,0.00,1.35,0.00,0.00,0.00,0.00,90.58,76.68,76.68,13.90,0.90,91.48,0.00,2.69,3.59,100,159,0,0,6,2,4,,0.05
